"country","iso2c","iso3c","year","gdp_growth","renewable_energy"
"Brazil","BR","BRA",2010,7.52822581815364,46.81
"Brazil","BR","BRA",2011,3.97442307944702,45.26
"Brazil","BR","BRA",2012,1.92117598576537,43.49
"Brazil","BR","BRA",2013,3.00482266944432,42.32
"Brazil","BR","BRA",2014,0.503955740242247,41.71
"Brazil","BR","BRA",2015,-3.54576339269425,43.62
"Brazil","BR","BRA",2016,-3.27591690782192,45.46
"Brazil","BR","BRA",2017,1.32286905404399,45.33
"Brazil","BR","BRA",2018,1.783666761634,46.95
"Brazil","BR","BRA",2019,1.22077782360842,47.58
"Brazil","BR","BRA",2020,-3.2767587964736,50.05
"India","IN","IND",2010,8.49758470212609,36.16
"India","IN","IND",2011,5.24131500151445,35.01
"India","IN","IND",2012,5.45638875261152,34.75
"India","IN","IND",2013,6.38610640116532,34.86
"India","IN","IND",2014,7.41022760058425,33.85
"India","IN","IND",2015,7.99625379040316,33.4
"India","IN","IND",2016,8.25630549903522,33.01
"India","IN","IND",2017,6.79538342343425,32.57
"India","IN","IND",2018,6.45385134074191,32.73
"India","IN","IND",2019,3.87143693928024,33.27
"India","IN","IND",2020,-5.83105322050864,35.82
"Indonesia","ID","IDN",2010,6.2238541798264,35.96
"Indonesia","ID","IDN",2011,6.16978420771008,32.39
"Indonesia","ID","IDN",2012,6.03005065305615,30.09
"Indonesia","ID","IDN",2013,5.5572636889101,30.63
"Indonesia","ID","IDN",2014,5.006668425755,29.29
"Indonesia","ID","IDN",2015,4.87632230022123,26.58
"Indonesia","ID","IDN",2016,5.03306918280177,27.77
"Indonesia","ID","IDN",2017,5.06978590134916,24.88
"Indonesia","ID","IDN",2018,5.17429153955024,22.05
"Indonesia","ID","IDN",2019,5.01928768046282,19.77
"Indonesia","ID","IDN",2020,-2.06551182934165,22.01
"South Africa","ZA","ZAF",2010,3.03973288127956,9.65
"South Africa","ZA","ZAF",2011,3.16855627858818,9.23
"South Africa","ZA","ZAF",2012,2.39623238465745,8.49
"South Africa","ZA","ZAF",2013,2.48546800826588,7.94
"South Africa","ZA","ZAF",2014,1.41382645223793,7.72
"South Africa","ZA","ZAF",2015,1.32186223678229,7.73
"South Africa","ZA","ZAF",2016,0.664552307858116,7.97
"South Africa","ZA","ZAF",2017,1.15794695147646,8.03
"South Africa","ZA","ZAF",2018,1.5567838465238,8.07
"South Africa","ZA","ZAF",2019,0.25993557707082,8.84
"South Africa","ZA","ZAF",2020,-5.96335818283997,9.76
